LOADING_MW_ACTUAL_CAISO,LOADING_MW_ACTUAL_PGE,LOADING_MW_ACTUAL_SCE,LOADING_MW_ACTUAL_SDGE,GAS_PRICE_PGE,GAS_PRICE_SCE,Day_of_week,Month,DA_LMP_PGE_NP15
21784,10084,9571,1994,4.17,6.18,1,1,33.2
21621,10157,9453,1886,4.17,6.18,1,1,30.2
21007,9952,9184,1756,4.17,6.18,1,1,25.12
20480,9811,8916,1645,4.17,6.18,1,1,21.1
19981,9492,8794,1591,4.17,6.18,1,1,17.73
19889,9478,8712,1598,4.17,6.18,1,1,17.32
20281,9743,8770,1671,4.17,6.18,1,1,16.6
20699,9794,8995,1819,4.17,6.18,1,1,21.73
21575,10070,9382,2030,4.17,6.18,1,1,30.16
23256,10797,10092,2267,4.17,6.18,1,1,36.49
25239,11696,10925,2513,4.17,6.18,1,1,39.2
25423,11814,10979,2524,4.17,6.18,1,1,39.6
24981,11613,10788,2471,4.17,6.18,1,1,38.99
24579,11331,10741,2397,4.17,6.18,1,1,37.61
23808,10918,10489,2291,4.17,6.18,1,1,37.27
22589,10356,9988,2137,4.17,6.18,1,1,33.88
21388,9793,9484,2000,4.17,6.18,1,1,33.01
20364,9333,9013,1903,4.17,6.18,1,1,33.88
19675,9039,8690,1832,4.17,6.18,1,1,31.45
19466,9084,8486,1778,4.17,6.18,1,1,31.39
19300,9002,8414,1760,4.17,6.18,1,1,30.35
19493,9086,8489,1786,4.17,6.18,1,1,30.45
19968,9284,8695,1855,4.17,6.18,1,1,31.22
20485,9476,8931,1939,4.17,6.18,1,1,34.16
20867,9873,8916,1937,4.17,6.18,1,1,32.46
20808,10019,8826,1832,4.17,6.18,1,1,30.31
20346,9903,8641,1683,4.17,6.18,1,1,24.18
19895,9784,8442,1558,4.17,6.18,1,1,17.76
19500,9558,8334,1502,4.17,6.18,1,1,16.66
19416,9468,8323,1522,4.17,6.18,1,1,16.17
19569,9394,8472,1606,4.17,6.18,1,1,15
20016,9496,8649,1775,4.17,6.18,1,1,17.32
21118,9963,9047,2010,4.17,6.18,1,1,27.5
23200,10900,9892,2301,4.17,6.18,1,1,34.76
25485,11936,10873,2560,4.17,6.18,1,1,37.55
25906,12131,11077,2583,4.17,6.18,1,1,37.45
25592,11937,11010,2526,4.17,6.18,1,1,37.45
24957,11587,10810,2431,4.17,6.18,1,1,36.44
23894,11031,10455,2291,4.17,6.18,1,1,36.19
22334,10241,9862,2111,4.17,6.18,1,1,34.05
20952,9571,9302,1958,4.17,6.18,1,1,29.84
20095,9206,8895,1882,4.17,6.18,0,1,30.34
19540,8955,8637,1824,4.17,6.18,0,1,29.06
19264,8857,8483,1794,4.17,6.18,0,1,27.72
19390,8925,8529,1810,4.17,6.18,0,1,28
20298,9376,8876,1912,4.17,6.18,0,1,29.82
22147,10224,9656,2120,4.17,6.18,0,1,35.66
24487,11393,10572,2360,4.17,6.18,0,1,46.46
25481,12044,10903,2386,4.17,6.18,0,1,43.6
24872,11811,10712,2219,4.17,6.18,0,1,40.19
23690,11265,10265,2043,4.17,6.18,0,1,29.11
22848,10788,10019,1932,4.17,6.18,0,1,27.65
22539,10690,9881,1866,4.17,6.18,0,1,27.41
22491,10692,9820,1884,4.17,6.18,0,1,23.2
22447,10445,9944,1965,4.17,6.18,0,1,22.52
22647,10277,10171,2106,4.17,6.18,0,1,25.65
23770,10793,10581,2299,4.17,6.18,0,1,35.57
25636,11725,11272,2529,4.17,6.18,0,1,47.89
27575,12735,11998,2725,4.17,6.18,0,1,69.23
27712,12907,11977,2709,4.17,6.18,0,1,49.46
27146,12659,11732,2621,4.17,6.18,0,1,49.06
26271,12242,11385,2505,4.17,6.18,0,1,44.99
24887,11561,10845,2345,4.17,6.18,0,1,40
23099,10668,10149,2147,4.17,6.18,0,1,36.92
21553,9941,9500,1982,4.17,6.18,0,1,34.19
20591,9541,9018,1902,4.36,6.18,0,1,30.69
19951,9256,8727,1839,4.36,6.18,0,1,29.49
19641,9121,8586,1801,4.36,6.18,0,1,28.93
19766,9186,8637,1811,4.36,6.18,0,1,29.19
20666,9595,9026,1900,4.36,6.18,0,1,30.93
22584,10494,9830,2101,4.36,6.18,0,1,35.49
24903,11679,10723,2336,4.36,6.18,0,1,40.65
25824,12349,10954,2355,4.36,6.18,0,1,40.86
25282,12183,10724,2209,4.36,6.18,0,1,35.33
24411,11762,10458,2035,4.36,6.18,0,1,30.03
23633,11323,10234,1926,4.36,6.18,0,1,26.19
23110,10967,10126,1876,4.36,6.18,0,1,26.19
23024,10828,10173,1885,4.36,6.18,0,1,24.85
23160,10726,10349,1952,4.36,6.18,0,1,25.68
23496,10789,10504,2079,4.36,6.18,0,1,27.68
24354,11262,10726,2244,4.36,6.18,0,1,32.86
25910,12086,11214,2485,4.36,6.18,0,1,36.15
27781,13005,11947,2705,4.36,6.18,0,1,41.28
27950,13153,11965,2708,4.36,6.18,0,1,42.56
27422,12904,11756,2634,4.36,6.18,0,1,39.85
26529,12421,11449,2529,4.36,6.18,0,1,38.18
25110,11681,10916,2386,4.36,6.18,0,1,35.84
23268,10747,10221,2176,4.36,6.18,0,1,33.43
21654,9958,9552,2018,4.36,6.18,0,1,30.89
20640,9502,9062,1956,4.38,5.85,0,1,30.07
19991,9180,8766,1925,4.38,5.85,0,1,28.84
19659,9022,8618,1899,4.38,5.85,0,1,28.22
19740,9068,8649,1901,4.38,5.85,0,1,28.39
20552,9428,9032,1969,4.38,5.85,0,1,30.3
22366,10256,9814,2175,4.38,5.85,0,1,35.19
24661,11388,10719,2427,4.38,5.85,0,1,38.53
25708,12100,10999,2470,4.38,5.85,0,1,38.69
25371,12064,10830,2343,4.38,5.85,0,1,34.71
24853,11904,10514,2314,4.38,5.85,0,1,32.89
24408,11793,10219,2283,4.38,5.85,0,1,26.46
23796,11601,9987,2100,4.38,5.85,0,1,26.23
23238,11258,9882,1994,4.38,5.85,0,1,23.73
23035,11025,9941,1968,4.38,5.85,0,1,24.93
23326,11043,10077,2105,4.38,5.85,0,1,27.76
24299,11460,10430,2306,4.38,5.85,0,1,32.8
25835,12220,11028,2474,4.38,5.85,0,1,37.34
27493,13032,11649,2692,4.38,5.85,0,1,40.73
27685,13145,11734,2686,4.38,5.85,0,1,42.47
27334,12863,11722,2624,4.38,5.85,0,1,40.45
26737,12431,11662,2517,4.38,5.85,0,1,38.1
25606,11762,11383,2340,4.38,5.85,0,1,36.75
23768,10856,10631,2166,4.38,5.85,0,1,34.14
21861,9952,9724,2068,4.38,5.85,0,1,30.77
20783,9513,9154,1999,4.42,5.44,0,1,31.05
20058,9199,8816,1923,4.42,5.44,0,1,30.05
19718,9050,8665,1881,4.42,5.44,0,1,29.49
19832,9112,8719,1877,4.42,5.44,0,1,29.77
20651,9507,9068,1948,4.42,5.44,0,1,31.86
22432,10342,9839,2116,4.42,5.44,0,1,36.47
24616,11374,10752,2342,4.42,5.44,0,1,42.12
25756,12118,11070,2415,4.42,5.44,0,1,41.58
25523,12114,10947,2320,4.42,5.44,0,1,37.67
25115,12011,10769,2215,4.42,5.44,0,1,35.23
24608,11705,10653,2143,4.42,5.44,0,1,29.55
24004,11302,10436,2169,4.42,5.44,0,1,26.63
23653,10983,10400,2178,4.42,5.44,0,1,25.05
23749,10917,10550,2192,4.42,5.44,0,1,23.55
23799,10922,10544,2244,4.42,5.44,0,1,27.03
24497,11177,10797,2429,4.42,5.44,0,1,32.69
25944,11823,11391,2620,4.42,5.44,0,1,38.5
27829,12728,12185,2796,4.42,5.44,0,1,43.71
28142,12967,12272,2781,4.42,5.44,0,1,42.48
27685,12724,12132,2706,4.42,5.44,0,1,42.6
26898,12316,11855,2606,4.42,5.44,0,1,42.19
25582,11656,11344,2463,4.42,5.44,0,1,39.38
23820,10824,10644,2242,4.42,5.44,0,1,36.01
22275,10116,9960,2088,4.42,5.44,0,1,33.85
21296,9665,9471,2046,4.43,5.72,0,1,32.4
20642,9435,9127,1964,4.43,5.72,0,1,30.62
20575,9517,9018,1923,4.43,5.72,0,1,30.69
20603,9476,9074,1932,4.43,5.72,0,1,31.14
21223,9664,9422,2013,4.43,5.72,0,1,35.67
23068,10530,10227,2182,4.43,5.72,0,1,38.61
25403,11665,11165,2437,4.43,5.72,0,1,51.09
26297,12272,11412,2480,4.43,5.72,0,1,47.07
25525,11969,11116,2318,4.43,5.72,0,1,37.22
24187,11330,10644,2106,4.43,5.72,0,1,34.5
22993,10700,10291,1903,4.43,5.72,0,1,31.05
22155,10226,10008,1829,4.43,5.72,0,1,30.87
21735,10013,9817,1820,4.43,5.72,0,1,28.8
21900,10144,9804,1867,4.43,5.72,0,1,26.11
22204,10209,9924,1984,4.43,5.72,0,1,26.81
23238,10665,10313,2171,4.43,5.72,0,1,34.61
25105,11537,11042,2427,4.43,5.72,0,1,38.06
27129,12488,11860,2673,4.43,5.72,0,1,48.33
27306,12570,11949,2677,4.43,5.72,0,1,49.19
26812,12300,11786,2614,4.43,5.72,0,1,41.32
26144,11945,11550,2536,4.43,5.72,0,1,40.08
25101,11423,11136,2430,4.43,5.72,0,1,38.25
23638,10718,10523,2289,4.43,5.72,0,1,37.7
22127,10015,9863,2140,4.43,5.72,0,1,35.6
20996,9519,9353,2016,4.38,6.23,1,1,34.84
20219,9179,9000,1931,4.38,6.23,1,1,31.87
19720,8961,8769,1878,4.38,6.23,1,1,30.53
19575,8872,8721,1866,4.38,6.23,1,1,30.54
19856,8960,8875,1901,4.38,6.23,1,1,31.7
20670,9309,9239,1994,4.38,6.23,1,1,35.74
21732,9846,9633,2114,4.38,6.23,1,1,37.36
22222,10275,9692,2112,4.38,6.23,1,1,37.49
22078,10447,9502,1999,4.38,6.23,1,1,34.11
21550,10399,9166,1867,4.38,6.23,1,1,25.51
20838,10152,8857,1722,4.38,6.23,1,1,19.13
20237,9836,8657,1649,4.38,6.23,1,1,17.59
19874,9618,8525,1643,4.38,6.23,1,1,13.08
19956,9639,8492,1735,4.38,6.23,1,1,11.34
20548,9831,8689,1935,4.38,6.23,1,1,18.43
21465,10008,9181,2183,4.38,6.23,1,1,28.88
23070,10650,9970,2347,4.38,6.23,1,1,35.9
25175,11600,10905,2558,4.38,6.23,1,1,36.97
25538,11801,11054,2574,4.38,6.23,1,1,40.72
25182,11628,10934,2509,4.38,6.23,1,1,39.26
24610,11350,10725,2417,4.38,6.23,1,1,38.73
23751,10929,10391,2314,4.38,6.23,1,1,37.57
22510,10362,9857,2181,4.38,6.23,1,1,36.9
21283,9775,9338,2061,4.38,6.23,1,1,34.61
20443,9448,8940,1946,4.38,6.23,1,1,33.2
20004,9392,8641,1861,4.38,6.23,1,1,33.89
19583,9241,8419,1810,4.38,6.23,1,1,34.39
19421,9201,8313,1791,4.38,6.23,1,1,34.53
19643,9311,8398,1815,4.38,6.23,1,1,34.95
20253,9610,8634,1884,4.38,6.23,1,1,35.31
21068,10064,8900,1970,4.38,6.23,1,1,36.78
21423,10446,8898,1940,4.38,6.23,1,1,35.43
21243,10576,8703,1833,4.38,6.23,1,1,30.37
20787,10567,8352,1748,4.38,6.23,1,1,28.18
20176,10390,8039,1637,4.38,6.23,1,1,25.57
19412,9934,7828,1545,4.38,6.23,1,1,22.45
19500,10091,7760,1548,4.38,6.23,1,1,21.47
19899,10293,7869,1640,4.38,6.23,1,1,21.47
20329,10191,8219,1827,4.38,6.23,1,1,22.52
21227,10250,8757,2121,4.38,6.23,1,1,30.9
23263,11044,9692,2421,4.38,6.23,1,1,36.33
25533,12113,10745,2565,4.38,6.23,1,1,40.2
26011,12305,10988,2606,4.38,6.23,1,1,45.14
25721,12127,10922,2557,4.38,6.23,1,1,37.62
25012,11742,10697,2457,4.38,6.23,1,1,36.1
23791,11114,10246,2316,4.38,6.23,1,1,35.17
22169,10292,9615,2148,4.38,6.23,1,1,34.21
20766,9593,9036,2020,4.38,6.23,1,1,34.3
19936,9230,8643,1945,4.38,6.23,0,1,29.15
19508,9092,8411,1885,4.38,6.23,0,1,28.53
19478,9171,8334,1851,4.38,6.23,0,1,27.86
19717,9288,8446,1859,4.38,6.23,0,1,28.41
20677,9711,8884,1955,4.38,6.23,0,1,30.13
22466,10403,9775,2156,4.38,6.23,0,1,35.55
24973,11614,10845,2368,4.38,6.23,0,1,46.28
26015,12253,11206,2405,4.38,6.23,0,1,43.55
25275,11912,10967,2256,4.38,6.23,0,1,35.77
23995,11311,10516,2048,4.38,6.23,0,1,30.48
23044,10797,10209,1928,4.38,6.23,0,1,30.16
22504,10608,9967,1824,4.38,6.23,0,1,29.34
22587,10829,9829,1829,4.38,6.23,0,1,27.26
22838,11034,9795,1912,4.38,6.23,0,1,25.03
23111,11044,9921,2048,4.38,6.23,0,1,29.57
23955,11299,10321,2236,4.38,6.23,0,1,34.59
25772,12104,11083,2478,4.38,6.23,0,1,40.58
27899,13023,12026,2734,4.38,6.23,0,1,55.23
28223,13141,12207,2757,4.38,6.23,0,1,53.21
27700,12840,12056,2689,4.38,6.23,0,1,51.99
26773,12358,11726,2576,4.38,6.23,0,1,49.13
25323,11644,11142,2425,4.38,6.23,0,1,43.36
23503,10774,10367,2252,4.38,6.23,0,1,35.17
21854,9970,9682,2089,4.38,6.23,0,1,33.47
20851,9486,9228,2015,4.25,5.75,0,1,29.47
20205,9206,8934,1941,4.25,5.75,0,1,27.73
19876,9058,8788,1904,4.25,5.75,0,1,26.87
19983,9109,8837,1910,4.25,5.75,0,1,27.53
20852,9493,9240,1989,4.25,5.75,0,1,29.87
22803,10364,10131,2167,4.25,5.75,0,1,34.06
25297,11579,11153,2416,4.25,5.75,0,1,47.06
26156,12162,11410,2430,4.25,5.75,0,1,44.65
25242,11780,11070,2247,4.25,5.75,0,1,36.29
23923,11141,10589,2076,4.25,5.75,0,1,30.79
23035,10837,10170,1922,4.25,5.75,0,1,26.67
22395,10590,9935,1764,4.25,5.75,0,1,25.57
22170,10423,9850,1791,4.25,5.75,0,1,23.24
22300,10430,9898,1869,4.25,5.75,0,1,23.39
22823,10595,10100,2030,4.25,5.75,0,1,26.54
23907,11077,10453,2281,4.25,5.75,0,1,30.74
25657,11866,11123,2572,4.25,5.75,0,1,35.09
27813,12840,12038,2840,4.25,5.75,0,1,55.72
28164,13080,12185,2814,4.25,5.75,0,1,50.45
27711,12863,12049,2715,4.25,5.75,0,1,47.83
26929,12471,11770,2599,4.25,5.75,0,1,44.59
25494,11770,11204,2426,4.25,5.75,0,1,37.98
23665,10921,10419,2226,4.25,5.75,0,1,33.38
22101,10195,9704,2091,4.25,5.75,0,1,32.83
21075,9752,9197,2009,4.21,5.55,0,1,29.72
20469,9487,8915,1947,4.21,5.55,0,1,29.21
20223,9405,8786,1915,4.21,5.55,0,1,29.2
20405,9505,8870,1928,4.21,5.55,0,1,30.15
21376,9942,9302,2013,4.21,5.55,0,1,33.23
23361,10858,10187,2197,4.21,5.55,0,1,39.59
25882,12073,11216,2472,4.21,5.55,0,1,55.35
26867,12635,11585,2522,4.21,5.55,0,1,57.1
25989,12186,11323,2344,4.21,5.55,0,1,37.96
24593,11544,10826,2103,4.21,5.55,0,1,32.63
23481,11065,10362,1938,4.21,5.55,0,1,29.43
22776,10832,9999,1831,4.21,5.55,0,1,27.12
22512,10670,9891,1845,4.21,5.55,0,1,27.05
22986,10799,10112,1975,4.21,5.55,0,1,27.03
23228,10918,10192,2018,4.21,5.55,0,1,30
24271,11403,10559,2201,4.21,5.55,0,1,36.54
25948,12118,11241,2461,4.21,5.55,0,1,46.65
28045,13068,12110,2726,4.21,5.55,0,1,61.78
28457,13275,12268,2764,4.21,5.55,0,1,56.5
28019,13039,12128,2703,4.21,5.55,0,1,55.3
27240,12631,11858,2602,4.21,5.55,0,1,47.04
25862,11937,11334,2447,4.21,5.55,0,1,42.79
24060,11106,10567,2240,4.21,5.55,0,1,36.8
22454,10374,9867,2069,4.21,5.55,0,1,35.79
21444,9876,9438,1985,4.21,5.26,0,1,29.45
20806,9538,9206,1909,4.21,5.26,0,1,27.93
20536,9407,9111,1860,4.21,5.26,0,1,27.43
20661,9448,9191,1860,4.21,5.26,0,1,27.77
21514,9810,9591,1948,4.21,5.26,0,1,30.91
23410,10670,10420,2152,4.21,5.26,0,1,35.9
25829,11882,11353,2415,4.21,5.26,0,1,46.75
26769,12489,11628,2486,4.21,5.26,0,1,46.02
26275,12366,11425,2348,4.21,5.26,0,1,35.77
25704,12386,11042,2163,4.21,5.26,0,1,32.78
25436,12620,10638,2075,4.21,5.26,0,1,29.92
25192,12681,10426,1988,4.21,5.26,0,1,28.41
24865,12520,10309,1944,4.21,5.26,0,1,26.86
25006,12542,10349,2023,4.21,5.26,0,1,26.32
25129,12308,10534,2196,4.21,5.26,0,1,28
25757,12356,10937,2358,4.21,5.26,0,1,31.28
27092,12825,11594,2546,4.21,5.26,0,1,39.42
28908,13559,12447,2764,4.21,5.26,0,1,47.58
29134,13652,12593,2766,4.21,5.26,0,1,47.79
28605,13383,12415,2689,4.21,5.26,0,1,43.88
27736,12946,12070,2585,4.21,5.26,0,1,40.46
26261,12233,11436,2435,4.21,5.26,0,1,37.49
24338,11341,10624,2224,4.21,5.26,0,1,32.51
22603,10528,9839,2053,4.21,5.26,0,1,31.27
21731,10087,9376,2021,3.94,4.96,0,1,28.24
20907,9784,9057,1968,3.94,4.96,0,1,27.24
20614,9618,9019,1878,3.94,4.96,0,1,25.82
20782,9666,9135,1879,3.94,4.96,0,1,27.21
21600,10060,9482,1948,3.94,4.96,0,1,28.38
23307,10860,10223,2108,3.94,4.96,0,1,34.39
25553,11891,11172,2366,3.94,4.96,0,1,47.03
26611,12486,11520,2480,3.94,4.96,0,1,42.07
26095,12210,11339,2431,3.94,4.96,0,1,32.86
25095,11713,10960,2315,3.94,4.96,0,1,27.67
24089,11214,10588,2188,3.94,4.96,0,1,25.3
23197,10746,10304,2054,3.94,4.96,0,1,22.85
22691,10451,10197,1954,3.94,4.96,0,1,21.61
22728,10492,10196,1954,3.94,4.96,0,1,21.33
23083,10727,10260,2011,3.94,4.96,0,1,24.1
23864,11129,10506,2141,3.94,4.96,0,1,28.08
25445,11937,11036,2374,3.94,4.96,0,1,40.9
27424,12833,11864,2619,3.94,4.96,0,1,50.43
27725,12974,12001,2639,3.94,4.96,0,1,49.3
27239,12702,11844,2580,3.94,4.96,0,1,44.84
26530,12324,11586,2507,3.94,4.96,0,1,39.67
25533,11816,11208,2397,3.94,4.96,0,1,39.94
24136,11137,10665,2223,3.94,4.96,0,1,34.49
22640,10426,10037,2067,3.94,4.96,0,1,32.97
21571,9935,9550,1974,3.83,4.56,1,1,31.31
20834,9595,9231,1894,3.83,4.56,1,1,30.81
20367,9376,9024,1850,3.83,4.56,1,1,28.85
20236,9320,8964,1831,3.83,4.56,1,1,27.74
20567,9479,9097,1866,3.83,4.56,1,1,28.68
21420,9857,9471,1957,3.83,4.56,1,1,32.56
22508,10395,9877,2079,3.83,4.56,1,1,31.55
23153,10849,10002,2118,3.83,4.56,1,1,31.42
23002,10956,9881,2001,3.83,4.56,1,1,30.8
22275,10749,9592,1804,3.83,4.56,1,1,25.26
21458,10419,9252,1657,3.83,4.56,1,1,23.52
20814,10077,9032,1579,3.83,4.56,1,1,18.94
20331,9817,8862,1523,3.83,4.56,1,1,18.39
20088,9637,8723,1588,3.83,4.56,1,1,17.31
20553,9830,8863,1718,3.83,4.56,1,1,21.08
21635,10286,9294,1925,3.83,4.56,1,1,29.01
23326,11024,9980,2178,3.83,4.56,1,1,34.19
25346,11941,10836,2427,3.83,4.56,1,1,42.25
25575,12055,10930,2444,3.83,4.56,1,1,41.68
25266,11887,10818,2406,3.83,4.56,1,1,37.28
24722,11617,10596,2344,3.83,4.56,1,1,36.54
23982,11267,10293,2257,3.83,4.56,1,1,34.66
22952,10792,9878,2123,3.83,4.56,1,1,33.86
21732,10215,9358,1996,3.83,4.56,1,1,32.28
20863,9798,8991,1908,3.83,4.56,1,1,30
20197,9476,8718,1835,3.83,4.56,1,1,27.9
19800,9294,8547,1793,3.83,4.56,1,1,28.11
19670,9243,8476,1786,3.83,4.56,1,1,27.7
19829,9313,8555,1805,3.83,4.56,1,1,29.52
20292,9486,8776,1876,3.83,4.56,1,1,31.54
21004,9865,9022,1962,3.83,4.56,1,1,31.55
21469,10348,8985,1965,3.83,4.56,1,1,29.85
21693,10696,8969,1866,3.83,4.56,1,1,28.81
21450,10787,8826,1707,3.83,4.56,1,1,23.79
21061,10575,8729,1636,3.83,4.56,1,1,18.4
20726,10326,8659,1618,3.83,4.56,1,1,17.05
20481,10217,8545,1597,3.83,4.56,1,1,18
21111,10352,8888,1744,3.83,4.56,1,1,19.63
21790,10597,9148,1924,3.83,4.56,1,1,24.07
22511,10913,9399,2074,3.83,4.56,1,1,29.82
23835,11455,10001,2260,3.83,4.56,1,1,34.91
25430,12154,10688,2460,3.83,4.56,1,1,38.71
25603,12252,10760,2473,3.83,4.56,1,1,40.1
25286,12118,10618,2416,3.83,4.56,1,1,37.25
24618,11793,10361,2320,3.83,4.56,1,1,34.95
23634,11261,10027,2189,3.83,4.56,1,1,33.53
22221,10548,9523,2030,3.83,4.56,1,1,33.12
20932,9913,9004,1892,3.83,4.56,1,1,30.86
20025,9476,8593,1829,3.83,4.56,0,1,29.59
19442,9151,8371,1797,3.83,4.56,0,1,27.24
19142,9016,8230,1769,3.83,4.56,0,1,27.06
19235,9070,8266,1763,3.83,4.56,0,1,27.15
19927,9401,8582,1797,3.83,4.56,0,1,28.55
21352,10014,9252,1946,3.83,4.56,0,1,32.72
23167,10827,10075,2143,3.83,4.56,0,1,34.54
24445,11519,10563,2248,3.83,4.56,0,1,36.8
25329,11991,10939,2287,3.83,4.56,0,1,36.67
25703,12176,11124,2297,3.83,4.56,0,1,34.12
25668,12031,11214,2321,3.83,4.56,0,1,32.37
25437,11811,11173,2355,3.83,4.56,0,1,31.63
25110,11744,10940,2332,3.83,4.56,0,1,30.19
24833,11649,10819,2273,3.83,4.56,0,1,29.55
25079,11610,11019,2358,3.83,4.56,0,1,31.26
25477,11829,11116,2434,3.83,4.56,0,1,32.22
26418,12241,11493,2581,3.83,4.56,0,1,39.73
27991,12989,12129,2769,3.83,4.56,0,1,44.28
28106,13116,12132,2753,3.83,4.56,0,1,43.65
27488,12805,11916,2662,3.83,4.56,0,1,41.58
26498,12328,11522,2545,3.83,4.56,0,1,37.52
25021,11633,10910,2379,3.83,4.56,0,1,34.16
23299,10833,10206,2166,3.83,4.56,0,1,32.71
21744,10082,9558,2009,3.83,4.56,0,1,31.07
20680,9644,9017,1924,3.83,4.56,0,1,28.71
19960,9347,8643,1881,3.83,4.56,0,1,27.48
19617,9165,8527,1835,3.83,4.56,0,1,26.91
19726,9186,8611,1837,3.83,4.56,0,1,26.9
20525,9552,8963,1911,3.83,4.56,0,1,27.39
22349,10409,9762,2074,3.83,4.56,0,1,30.7
24700,11561,10700,2329,3.83,4.56,0,1,38.43
25848,12183,11114,2439,3.83,4.56,0,1,36.48
25701,11906,11209,2477,3.83,4.56,0,1,35.79
25144,11498,11125,2420,3.83,4.56,0,1,31.67
24575,11231,10902,2346,3.83,4.56,0,1,28.4
