Date,Hour,F1,F2,F3,F4,F5,F6,Target
01/04/2020 ,7,21407,9730,9539,2001,4,6,37
01/04/2020 ,8,21784,10084,9571,1994,4,6,33
01/04/2020 ,9,21621,10157,9453,1886,4,6,30
01/04/2020 ,10,21007,9952,9184,1756,4,6,25
01/04/2020 ,11,20480,9811,8916,1645,4,6,21
01/04/2020 ,12,19981,9492,8794,1591,4,6,18
01/04/2020 ,13,19889,9478,8712,1598,4,6,17
01/04/2020 ,14,20281,9743,8770,1671,4,6,17
01/04/2020 ,15,20699,9794,8995,1819,4,6,22
01/04/2020 ,16,21575,10070,9382,2030,4,6,30
01/04/2020 ,17,23256,10797,10092,2267,4,6,36
01/04/2020 ,18,25239,11696,10925,2513,4,6,39
01/04/2020 ,19,25423,11814,10979,2524,4,6,40
01/04/2020 ,20,24981,11613,10788,2471,4,6,39
01/04/2020 ,21,24579,11331,10741,2397,4,6,38
01/04/2020 ,22,23808,10918,10489,2291,4,6,37
01/04/2020 ,23,22589,10356,9988,2137,4,6,34
01/04/2020 ,24,21388,9793,9484,2000,4,6,33
01/05/2020 ,1,20364,9333,9013,1903,4,6,34
01/05/2020 ,2,19675,9039,8690,1832,4,6,31
01/05/2020 ,3,19466,9084,8486,1778,4,6,31
01/05/2020 ,4,19300,9002,8414,1760,4,6,30
01/05/2020 ,5,19493,9086,8489,1786,4,6,30
01/05/2020 ,6,19968,9284,8695,1855,4,6,31
01/05/2020 ,7,20485,9476,8931,1939,4,6,34
01/05/2020 ,8,20867,9873,8916,1937,4,6,32
01/05/2020 ,9,20808,10019,8826,1832,4,6,30
01/05/2020 ,10,20346,9903,8641,1683,4,6,24
01/05/2020 ,11,19895,9784,8442,1558,4,6,18
01/05/2020 ,12,19500,9558,8334,1502,4,6,17
01/05/2020 ,13,19416,9468,8323,1522,4,6,16
01/05/2020 ,14,19569,9394,8472,1606,4,6,15
01/05/2020 ,15,20016,9496,8649,1775,4,6,17
01/05/2020 ,16,21118,9963,9047,2010,4,6,28
01/05/2020 ,17,23200,10900,9892,2301,4,6,35
01/05/2020 ,18,25485,11936,10873,2560,4,6,38
01/05/2020 ,19,25906,12131,11077,2583,4,6,37
01/05/2020 ,20,25592,11937,11010,2526,4,6,37
01/05/2020 ,21,24957,11587,10810,2431,4,6,36
01/05/2020 ,22,23894,11031,10455,2291,4,6,36
01/05/2020 ,23,22334,10241,9862,2111,4,6,34
01/05/2020 ,24,20952,9571,9302,1958,4,6,30
01/06/2020 ,1,20095,9206,8895,1882,4,6,30
01/06/2020 ,2,19540,8955,8637,1824,4,6,29
01/06/2020 ,3,19264,8857,8483,1794,4,6,28
01/06/2020 ,4,19390,8925,8529,1810,4,6,28
01/06/2020 ,5,20298,9376,8876,1912,4,6,30
01/06/2020 ,6,22147,10224,9656,2120,4,6,36
01/06/2020 ,7,24487,11393,10572,2360,4,6,46
01/06/2020 ,8,25481,12044,10903,2386,4,6,44
01/06/2020 ,9,24872,11811,10712,2219,4,6,40
01/06/2020 ,10,23690,11265,10265,2043,4,6,29
01/06/2020 ,11,22848,10788,10019,1932,4,6,28
01/06/2020 ,12,22539,10690,9881,1866,4,6,27
01/06/2020 ,13,22491,10692,9820,1884,4,6,23
01/06/2020 ,14,22447,10445,9944,1965,4,6,23
01/06/2020 ,15,22647,10277,10171,2106,4,6,26
01/06/2020 ,16,23770,10793,10581,2299,4,6,36
01/06/2020 ,17,25636,11725,11272,2529,4,6,48
01/06/2020 ,18,27575,12735,11998,2725,4,6,69
01/06/2020 ,19,27712,12907,11977,2709,4,6,49
01/06/2020 ,20,27146,12659,11732,2621,4,6,49
01/06/2020 ,21,26271,12242,11385,2505,4,6,45
01/06/2020 ,22,24887,11561,10845,2345,4,6,40
01/06/2020 ,23,23099,10668,10149,2147,4,6,37
01/06/2020 ,24,21553,9941,9500,1982,4,6,34
01/07/2020 ,1,20591,9541,9018,1902,4,6,31
01/07/2020 ,2,19951,9256,8727,1839,4,6,29
01/07/2020 ,3,19641,9121,8586,1801,4,6,29
01/07/2020 ,4,19766,9186,8637,1811,4,6,29
01/07/2020 ,5,20666,9595,9026,1900,4,6,31
01/07/2020 ,6,22584,10494,9830,2101,4,6,35
01/07/2020 ,7,24903,11679,10723,2336,4,6,41
01/07/2020 ,8,25824,12349,10954,2355,4,6,41
01/07/2020 ,9,25282,12183,10724,2209,4,6,35
01/07/2020 ,10,24411,11762,10458,2035,4,6,30
01/07/2020 ,11,23633,11323,10234,1926,4,6,26
01/07/2020 ,12,23110,10967,10126,1876,4,6,26
01/07/2020 ,13,23024,10828,10173,1885,4,6,25
01/07/2020 ,14,23160,10726,10349,1952,4,6,26
01/07/2020 ,15,23496,10789,10504,2079,4,6,28
01/07/2020 ,16,24354,11262,10726,2244,4,6,33
01/07/2020 ,17,25910,12086,11214,2485,4,6,36
01/07/2020 ,18,27781,13005,11947,2705,4,6,41
01/07/2020 ,19,27950,13153,11965,2708,4,6,43
01/07/2020 ,20,27422,12904,11756,2634,4,6,40
01/07/2020 ,21,26529,12421,11449,2529,4,6,38
01/07/2020 ,22,25110,11681,10916,2386,4,6,36
01/07/2020 ,23,23268,10747,10221,2176,4,6,33
01/07/2020 ,24,21654,9958,9552,2018,4,6,31
01/08/2020 ,1,20640,9502,9062,1956,4,6,30
01/08/2020 ,2,19991,9180,8766,1925,4,6,29
01/08/2020 ,3,19659,9022,8618,1899,4,6,28
01/08/2020 ,4,19740,9068,8649,1901,4,6,28
01/08/2020 ,5,20552,9428,9032,1969,4,6,30
01/08/2020 ,6,22366,10256,9814,2175,4,6,35
01/08/2020 ,7,24661,11388,10719,2427,4,6,39
01/08/2020 ,8,25708,12100,10999,2470,4,6,39
01/08/2020 ,9,25371,12064,10830,2343,4,6,35
01/08/2020 ,10,24853,11904,10514,2314,4,6,33
01/08/2020 ,11,24408,11793,10219,2283,4,6,26
01/08/2020 ,12,23796,11601,9987,2100,4,6,26
01/08/2020 ,13,23238,11258,9882,1994,4,6,24
01/08/2020 ,14,23035,11025,9941,1968,4,6,25
01/08/2020 ,15,23326,11043,10077,2105,4,6,28
01/08/2020 ,16,24299,11460,10430,2306,4,6,33
01/08/2020 ,17,25835,12220,11028,2474,4,6,37
01/08/2020 ,18,27493,13032,11649,2692,4,6,41
01/08/2020 ,19,27685,13145,11734,2686,4,6,42
01/08/2020 ,20,27334,12863,11722,2624,4,6,40
01/08/2020 ,21,26737,12431,11662,2517,4,6,38
01/08/2020 ,22,25606,11762,11383,2340,4,6,37
01/08/2020 ,23,23768,10856,10631,2166,4,6,34
01/08/2020 ,24,21861,9952,9724,2068,4,6,31
01/09/2020 ,1,20783,9513,9154,1999,4,5,31
01/09/2020 ,2,20058,9199,8816,1923,4,5,30
01/09/2020 ,3,19718,9050,8665,1881,4,5,29
01/09/2020 ,4,19832,9112,8719,1877,4,5,30
01/09/2020 ,5,20651,9507,9068,1948,4,5,32
01/09/2020 ,6,22432,10342,9839,2116,4,5,36
01/09/2020 ,7,24616,11374,10752,2342,4,5,42
01/09/2020 ,8,25756,12118,11070,2415,4,5,42
01/09/2020 ,9,25523,12114,10947,2320,4,5,38
01/09/2020 ,10,25115,12011,10769,2215,4,5,35
01/09/2020 ,11,24608,11705,10653,2143,4,5,30
01/09/2020 ,12,24004,11302,10436,2169,4,5,27
01/09/2020 ,13,23653,10983,10400,2178,4,5,25
01/09/2020 ,14,23749,10917,10550,2192,4,5,24
01/09/2020 ,15,23799,10922,10544,2244,4,5,27
01/09/2020 ,16,24497,11177,10797,2429,4,5,33
01/09/2020 ,17,25944,11823,11391,2620,4,5,39
01/09/2020 ,18,27829,12728,12185,2796,4,5,44
01/09/2020 ,19,28142,12967,12272,2781,4,5,42
01/09/2020 ,20,27685,12724,12132,2706,4,5,43
01/09/2020 ,21,26898,12316,11855,2606,4,5,42
01/09/2020 ,22,25582,11656,11344,2463,4,5,39
01/09/2020 ,23,23820,10824,10644,2242,4,5,36
01/09/2020 ,24,22275,10116,9960,2088,4,5,34
01/10/2020 ,1,21296,9665,9471,2046,4,6,32
01/10/2020 ,2,20642,9435,9127,1964,4,6,31
01/10/2020 ,3,20575,9517,9018,1923,4,6,31
01/10/2020 ,4,20603,9476,9074,1932,4,6,31
01/10/2020 ,5,21223,9664,9422,2013,4,6,36
01/10/2020 ,6,23068,10530,10227,2182,4,6,39
01/10/2020 ,7,25403,11665,11165,2437,4,6,51
01/10/2020 ,8,26297,12272,11412,2480,4,6,47
01/10/2020 ,9,25525,11969,11116,2318,4,6,37
01/10/2020 ,10,24187,11330,10644,2106,4,6,35
01/10/2020 ,11,22993,10700,10291,1903,4,6,31
01/10/2020 ,12,22155,10226,10008,1829,4,6,31
01/10/2020 ,13,21735,10013,9817,1820,4,6,29
01/10/2020 ,14,21900,10144,9804,1867,4,6,26
01/10/2020 ,15,22204,10209,9924,1984,4,6,27
01/10/2020 ,16,23238,10665,10313,2171,4,6,35
01/10/2020 ,17,25105,11537,11042,2427,4,6,38
01/10/2020 ,18,27129,12488,11860,2673,4,6,48
01/10/2020 ,19,27306,12570,11949,2677,4,6,49
01/10/2020 ,20,26812,12300,11786,2614,4,6,41
01/10/2020 ,21,26144,11945,11550,2536,4,6,40
01/10/2020 ,22,25101,11423,11136,2430,4,6,38
01/10/2020 ,23,23638,10718,10523,2289,4,6,38
01/10/2020 ,24,22127,10015,9863,2140,4,6,36
01/11/2020 ,1,20996,9519,9353,2016,4,6,35
01/11/2020 ,2,20219,9179,9000,1931,4,6,32
01/11/2020 ,3,19720,8961,8769,1878,4,6,31
01/11/2020 ,4,19575,8872,8721,1866,4,6,31
01/11/2020 ,5,19856,8960,8875,1901,4,6,32
01/11/2020 ,6,20670,9309,9239,1994,4,6,36
01/11/2020 ,7,21732,9846,9633,2114,4,6,37
01/11/2020 ,8,22222,10275,9692,2112,4,6,37
01/11/2020 ,9,22078,10447,9502,1999,4,6,34
01/11/2020 ,10,21550,10399,9166,1867,4,6,26
01/11/2020 ,11,20838,10152,8857,1722,4,6,19
01/11/2020 ,12,20237,9836,8657,1649,4,6,18
01/11/2020 ,13,19874,9618,8525,1643,4,6,13
01/11/2020 ,14,19956,9639,8492,1735,4,6,11
01/11/2020 ,15,20548,9831,8689,1935,4,6,18
01/11/2020 ,16,21465,10008,9181,2183,4,6,29
01/11/2020 ,17,23070,10650,9970,2347,4,6,36
01/11/2020 ,18,25175,11600,10905,2558,4,6,37
01/11/2020 ,19,25538,11801,11054,2574,4,6,41
01/11/2020 ,20,25182,11628,10934,2509,4,6,39
01/11/2020 ,21,24610,11350,10725,2417,4,6,39
01/11/2020 ,22,23751,10929,10391,2314,4,6,38
01/11/2020 ,23,22510,10362,9857,2181,4,6,37
01/11/2020 ,24,21283,9775,9338,2061,4,6,35
01/12/2020 ,1,20443,9448,8940,1946,4,6,33
01/12/2020 ,2,20004,9392,8641,1861,4,6,34
01/12/2020 ,3,19583,9241,8419,1810,4,6,34
01/12/2020 ,4,19421,9201,8313,1791,4,6,35
01/12/2020 ,5,19643,9311,8398,1815,4,6,35
01/12/2020 ,6,20253,9610,8634,1884,4,6,35
01/12/2020 ,7,21068,10064,8900,1970,4,6,37
01/12/2020 ,8,21423,10446,8898,1940,4,6,35
01/12/2020 ,9,21243,10576,8703,1833,4,6,30
01/12/2020 ,10,20787,10567,8352,1748,4,6,28
01/12/2020 ,11,20176,10390,8039,1637,4,6,26
01/12/2020 ,12,19412,9934,7828,1545,4,6,22
01/12/2020 ,13,19500,10091,7760,1548,4,6,21
01/12/2020 ,14,19899,10293,7869,1640,4,6,21
01/12/2020 ,15,20329,10191,8219,1827,4,6,23
01/12/2020 ,16,21227,10250,8757,2121,4,6,31
01/12/2020 ,17,23263,11044,9692,2421,4,6,36
01/12/2020 ,18,25533,12113,10745,2565,4,6,40
01/12/2020 ,19,26011,12305,10988,2606,4,6,45
01/12/2020 ,20,25721,12127,10922,2557,4,6,38
01/12/2020 ,21,25012,11742,10697,2457,4,6,36
01/12/2020 ,22,23791,11114,10246,2316,4,6,35
01/12/2020 ,23,22169,10292,9615,2148,4,6,34
01/12/2020 ,24,20766,9593,9036,2020,4,6,34
01/13/2020 ,1,19936,9230,8643,1945,4,6,29
01/13/2020 ,2,19508,9092,8411,1885,4,6,29
01/13/2020 ,3,19478,9171,8334,1851,4,6,28
01/13/2020 ,4,19717,9288,8446,1859,4,6,28
01/13/2020 ,5,20677,9711,8884,1955,4,6,30
01/13/2020 ,6,22466,10403,9775,2156,4,6,36
01/13/2020 ,7,24973,11614,10845,2368,4,6,46
01/13/2020 ,8,26015,12253,11206,2405,4,6,44
01/13/2020 ,9,25275,11912,10967,2256,4,6,36
01/13/2020 ,10,23995,11311,10516,2048,4,6,30
01/13/2020 ,11,23044,10797,10209,1928,4,6,30
01/13/2020 ,12,22504,10608,9967,1824,4,6,29
01/13/2020 ,13,22587,10829,9829,1829,4,6,27
01/13/2020 ,14,22838,11034,9795,1912,4,6,25
01/13/2020 ,15,23111,11044,9921,2048,4,6,30
01/13/2020 ,16,23955,11299,10321,2236,4,6,35
01/13/2020 ,17,25772,12104,11083,2478,4,6,41
01/13/2020 ,18,27899,13023,12026,2734,4,6,55
01/13/2020 ,19,28223,13141,12207,2757,4,6,53
01/13/2020 ,20,27700,12840,12056,2689,4,6,52
01/13/2020 ,21,26773,12358,11726,2576,4,6,49
01/13/2020 ,22,25323,11644,11142,2425,4,6,43
01/13/2020 ,23,23503,10774,10367,2252,4,6,35
01/13/2020 ,24,21854,9970,9682,2089,4,6,33
01/14/2020 ,1,20851,9486,9228,2015,4,6,29
01/14/2020 ,2,20205,9206,8934,1941,4,6,28
01/14/2020 ,3,19876,9058,8788,1904,4,6,27
01/14/2020 ,4,19983,9109,8837,1910,4,6,28
01/14/2020 ,5,20852,9493,9240,1989,4,6,30
01/14/2020 ,6,22803,10364,10131,2167,4,6,34
01/14/2020 ,7,25297,11579,11153,2416,4,6,47
01/14/2020 ,8,26156,12162,11410,2430,4,6,45
01/14/2020 ,9,25242,11780,11070,2247,4,6,36
01/14/2020 ,10,23923,11141,10589,2076,4,6,31
01/14/2020 ,11,23035,10837,10170,1922,4,6,27
01/14/2020 ,12,22395,10590,9935,1764,4,6,26
01/14/2020 ,13,22170,10423,9850,1791,4,6,23
01/14/2020 ,14,22300,10430,9898,1869,4,6,23
01/14/2020 ,15,22823,10595,10100,2030,4,6,27
01/14/2020 ,16,23907,11077,10453,2281,4,6,31
01/14/2020 ,17,25657,11866,11123,2572,4,6,35
01/14/2020 ,18,27813,12840,12038,2840,4,6,56
01/14/2020 ,19,28164,13080,12185,2814,4,6,50
01/14/2020 ,20,27711,12863,12049,2715,4,6,48
01/14/2020 ,21,26929,12471,11770,2599,4,6,45
01/14/2020 ,22,25494,11770,11204,2426,4,6,38
01/14/2020 ,23,23665,10921,10419,2226,4,6,33
01/14/2020 ,24,22101,10195,9704,2091,4,6,33
01/15/2020 ,1,21075,9752,9197,2009,4,6,30
01/15/2020 ,2,20469,9487,8915,1947,4,6,29
01/15/2020 ,3,20223,9405,8786,1915,4,6,29
01/15/2020 ,4,20405,9505,8870,1928,4,6,30
01/15/2020 ,5,21376,9942,9302,2013,4,6,33
01/15/2020 ,6,23361,10858,10187,2197,4,6,40
01/15/2020 ,7,25882,12073,11216,2472,4,6,55
01/15/2020 ,8,26867,12635,11585,2522,4,6,57
01/15/2020 ,9,25989,12186,11323,2344,4,6,38
01/15/2020 ,10,24593,11544,10826,2103,4,6,33
01/15/2020 ,11,23481,11065,10362,1938,4,6,29
01/15/2020 ,12,22776,10832,9999,1831,4,6,27
01/15/2020 ,13,22512,10670,9891,1845,4,6,27
01/15/2020 ,14,22986,10799,10112,1975,4,6,27
01/15/2020 ,15,23228,10918,10192,2018,4,6,30
01/15/2020 ,16,24271,11403,10559,2201,4,6,37
01/15/2020 ,17,25948,12118,11241,2461,4,6,47
01/15/2020 ,18,28045,13068,12110,2726,4,6,62
01/15/2020 ,19,28457,13275,12268,2764,4,6,57
01/15/2020 ,20,28019,13039,12128,2703,4,6,55
01/15/2020 ,21,27240,12631,11858,2602,4,6,47
01/15/2020 ,22,25862,11937,11334,2447,4,6,43
01/15/2020 ,23,24060,11106,10567,2240,4,6,37
01/15/2020 ,24,22454,10374,9867,2069,4,6,36
01/16/2020 ,1,21444,9876,9438,1985,4,5,29
01/16/2020 ,2,20806,9538,9206,1909,4,5,28
01/16/2020 ,3,20536,9407,9111,1860,4,5,27
01/16/2020 ,4,20661,9448,9191,1860,4,5,28
01/16/2020 ,5,21514,9810,9591,1948,4,5,31
01/16/2020 ,6,23410,10670,10420,2152,4,5,36
01/16/2020 ,7,25829,11882,11353,2415,4,5,47
01/16/2020 ,8,26769,12489,11628,2486,4,5,46
01/16/2020 ,9,26275,12366,11425,2348,4,5,36
01/16/2020 ,10,25704,12386,11042,2163,4,5,33
01/16/2020 ,11,25436,12620,10638,2075,4,5,30
01/16/2020 ,12,25192,12681,10426,1988,4,5,28
01/16/2020 ,13,24865,12520,10309,1944,4,5,27
01/16/2020 ,14,25006,12542,10349,2023,4,5,26
01/16/2020 ,15,25129,12308,10534,2196,4,5,28
01/16/2020 ,16,25757,12356,10937,2358,4,5,31
01/16/2020 ,17,27092,12825,11594,2546,4,5,39
01/16/2020 ,18,28908,13559,12447,2764,4,5,48
01/16/2020 ,19,29134,13652,12593,2766,4,5,48
01/16/2020 ,20,28605,13383,12415,2689,4,5,44
01/16/2020 ,21,27736,12946,12070,2585,4,5,40
01/16/2020 ,22,26261,12233,11436,2435,4,5,37
01/16/2020 ,23,24338,11341,10624,2224,4,5,33
01/16/2020 ,24,22603,10528,9839,2053,4,5,31
01/17/2020 ,1,21731,10087,9376,2021,4,5,28
01/17/2020 ,2,20907,9784,9057,1968,4,5,27
01/17/2020 ,3,20614,9618,9019,1878,4,5,26
01/17/2020 ,4,20782,9666,9135,1879,4,5,27
01/17/2020 ,5,21600,10060,9482,1948,4,5,28
01/17/2020 ,6,23307,10860,10223,2108,4,5,34
01/17/2020 ,7,25553,11891,11172,2366,4,5,47
01/17/2020 ,8,26611,12486,11520,2480,4,5,42
01/17/2020 ,9,26095,12210,11339,2431,4,5,33
01/17/2020 ,10,25095,11713,10960,2315,4,5,28
01/17/2020 ,11,24089,11214,10588,2188,4,5,25
01/17/2020 ,12,23197,10746,10304,2054,4,5,23
01/17/2020 ,13,22691,10451,10197,1954,4,5,22
01/17/2020 ,14,22728,10492,10196,1954,4,5,21
01/17/2020 ,15,23083,10727,10260,2011,4,5,24
01/17/2020 ,16,23864,11129,10506,2141,4,5,28
01/17/2020 ,17,25445,11937,11036,2374,4,5,41
01/17/2020 ,18,27424,12833,11864,2619,4,5,50
01/17/2020 ,19,27725,12974,12001,2639,4,5,49
01/17/2020 ,20,27239,12702,11844,2580,4,5,45
01/17/2020 ,21,26530,12324,11586,2507,4,5,40
01/17/2020 ,22,25533,11816,11208,2397,4,5,40
01/17/2020 ,23,24136,11137,10665,2223,4,5,34
01/17/2020 ,24,22640,10426,10037,2067,4,5,33
01/18/2020 ,1,21571,9935,9550,1974,4,5,31
01/18/2020 ,2,20834,9595,9231,1894,4,5,31
01/18/2020 ,3,20367,9376,9024,1850,4,5,29
01/18/2020 ,4,20236,9320,8964,1831,4,5,28
01/18/2020 ,5,20567,9479,9097,1866,4,5,29
01/18/2020 ,6,21420,9857,9471,1957,4,5,33
01/18/2020 ,7,22508,10395,9877,2079,4,5,32
01/18/2020 ,8,23153,10849,10002,2118,4,5,31
01/18/2020 ,9,23002,10956,9881,2001,4,5,31
01/18/2020 ,10,22275,10749,9592,1804,4,5,25
01/18/2020 ,11,21458,10419,9252,1657,4,5,24
01/18/2020 ,12,20814,10077,9032,1579,4,5,19
01/18/2020 ,13,20331,9817,8862,1523,4,5,18
01/18/2020 ,14,20088,9637,8723,1588,4,5,17
01/18/2020 ,15,20553,9830,8863,1718,4,5,21
01/18/2020 ,16,21635,10286,9294,1925,4,5,29
01/18/2020 ,17,23326,11024,9980,2178,4,5,34
01/18/2020 ,18,25346,11941,10836,2427,4,5,42
01/18/2020 ,19,25575,12055,10930,2444,4,5,42
01/18/2020 ,20,25266,11887,10818,2406,4,5,37
01/18/2020 ,21,24722,11617,10596,2344,4,5,37
01/18/2020 ,22,23982,11267,10293,2257,4,5,35
01/18/2020 ,23,22952,10792,9878,2123,4,5,34
01/18/2020 ,24,21732,10215,9358,1996,4,5,32
01/19/2020 ,1,20863,9798,8991,1908,4,5,30
01/19/2020 ,2,20197,9476,8718,1835,4,5,28
01/19/2020 ,3,19800,9294,8547,1793,4,5,28
01/19/2020 ,4,19670,9243,8476,1786,4,5,28
01/19/2020 ,5,19829,9313,8555,1805,4,5,30
01/19/2020 ,6,20292,9486,8776,1876,4,5,32
01/19/2020 ,7,21004,9865,9022,1962,4,5,32
01/19/2020 ,8,21469,10348,8985,1965,4,5,30
01/19/2020 ,9,21693,10696,8969,1866,4,5,29
01/19/2020 ,10,21450,10787,8826,1707,4,5,24
01/19/2020 ,11,21061,10575,8729,1636,4,5,18
01/19/2020 ,12,20726,10326,8659,1618,4,5,17
01/19/2020 ,13,20481,10217,8545,1597,4,5,18
01/19/2020 ,14,21111,10352,8888,1744,4,5,20
01/19/2020 ,15,21790,10597,9148,1924,4,5,24
01/19/2020 ,16,22511,10913,9399,2074,4,5,30
01/19/2020 ,17,23835,11455,10001,2260,4,5,35
01/19/2020 ,18,25430,12154,10688,2460,4,5,39
01/19/2020 ,19,25603,12252,10760,2473,4,5,40
01/19/2020 ,20,25286,12118,10618,2416,4,5,37
01/19/2020 ,21,24618,11793,10361,2320,4,5,35
01/19/2020 ,22,23634,11261,10027,2189,4,5,34
01/19/2020 ,23,22221,10548,9523,2030,4,5,33
01/19/2020 ,24,20932,9913,9004,1892,4,5,31
01/20/2020 ,1,20025,9476,8593,1829,4,5,30
01/20/2020 ,2,19442,9151,8371,1797,4,5,27
01/20/2020 ,3,19142,9016,8230,1769,4,5,27
01/20/2020 ,4,19235,9070,8266,1763,4,5,27
01/20/2020 ,5,19927,9401,8582,1797,4,5,29
01/20/2020 ,6,21352,10014,9252,1946,4,5,33
01/20/2020 ,7,23167,10827,10075,2143,4,5,35
01/20/2020 ,8,24445,11519,10563,2248,4,5,37
01/20/2020 ,9,25329,11991,10939,2287,4,5,37
01/20/2020 ,10,25703,12176,11124,2297,4,5,34
01/20/2020 ,11,25668,12031,11214,2321,4,5,32
01/20/2020 ,12,25437,11811,11173,2355,4,5,32
01/20/2020 ,13,25110,11744,10940,2332,4,5,30
01/20/2020 ,14,24833,11649,10819,2273,4,5,30
01/20/2020 ,15,25079,11610,11019,2358,4,5,31
01/20/2020 ,16,25477,11829,11116,2434,4,5,32
01/20/2020 ,17,26418,12241,11493,2581,4,5,40
01/20/2020 ,18,27991,12989,12129,2769,4,5,44
01/20/2020 ,19,28106,13116,12132,2753,4,5,44
01/20/2020 ,20,27488,12805,11916,2662,4,5,42
01/20/2020 ,21,26498,12328,11522,2545,4,5,38
01/20/2020 ,22,25021,11633,10910,2379,4,5,34
01/20/2020 ,23,23299,10833,10206,2166,4,5,33
01/20/2020 ,24,21744,10082,9558,2009,4,5,31
